Order ID,Product,Quantity Ordered,Price Each,Order Date,City
176558,USB-C Charging Cable,2,11.95,1/22/2023,New York
176559,Bose SoundSport Headphones,1,99.99,1/23/2023,Los Angeles
176560,Google Phone,1,600,1/23/2023,Chicago
176561,Wired Headphones,3,11.99,1/24/2023,Houston
176562,Lightning Charging Cable,1,14.95,1/24/2023,New York
176563,iPhone,1,700,1/25/2023,San Francisco
176564,ThinkPad Laptop,1,1200,1/25/2023,Chicago
176565,AAA Batteries (4-pack),4,3.84,1/26/2023,Los Angeles
176566,27in 4K Gaming Monitor,2,400,1/26/2023,Houston
176567,Flatscreen TV,1,300,1/27/2023,San Francisco
